status,lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,espera_zona_roja,ratio_asistencia,recurrence,libere_community,bought_products,returning_inhabitant,mes_estancia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,status_num,origin_direct_channel,origin_email,origin_in_person,origin_telephone,requested_category_Hostel room,requested_category_One bedroom apartment,requested_category_One bedroom apartment superior,requested_category_Studio,requested_category_Studio superior,requested_category_Three bedroom apartment,requested_category_Three bedroom apartment superior,requested_category_Two bedroom apartment,requested_category_Two bedroom apartment superior,asset_type_apartment,asset_type_hostel,brand_libere,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Mid Stay,rate_type_Non Refundable,estacion_estancia_Otoño,estacion_estancia_Primavera,estacion_estancia_Verano,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA
checked_out,8,2,1,0,135,1.0,0,28.92,14.46,7,0,1.0,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,5,17,1,0,135,0.0,0,258.4,15.2,5,1,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,5,1,3,1,135,3.0,0,69.02,69.02,5,1,1.3333333333333333,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,4,1,1,0,135,1.0,0,13.01,13.01,4,1,1.0,3,yes,no,yes,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,4,3,4,0,135,4.0,3,279.77,93.26,3,0,1.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,3,4,2,3,135,2.0,0,329.34,82.34,3,1,2.5,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,3,2,2,2,135,2.0,2,150.34,75.17,2,0,2.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,1,1,3,0,135,3.0,0,65.1,65.1,1,1,1.0,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,1,2,1,0,135,1.0,0,36.73,18.37,0,0,1.0,2,no,no,yes,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
cancelled,0,3,1,0,135,0.0,0,19.0,6.33,0,1,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
