lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,recurrence,ratio_asistencia,tmed,prec,sol,bought_products,returning_inhabitant,libere_community,es_finde,es_festivo,asset_type_aparthotel,asset_type_apartment,asset_type_hostel,business_segment_Business Group,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Flexible,rate_type_Mid Stay,rate_type_Non Refundable,origin_channel_manager,origin_direct_channel,origin_email,origin_in_person,origin_telephone,provincia_ARABA/ALAVA,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA,mes_estancia_1,mes_estancia_2,mes_estancia_3,mes_estancia_4,mes_estancia_5,mes_estancia_6,mes_estancia_7,mes_estancia_8,mes_estancia_9,mes_estancia_10,mes_estancia_11,mes_estancia_12
1.791759469228055,17,1,0,135,0.0,0,5.5583712718823435,2.785011242238338,5,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.791759469228055,1,3,1,135,3.0,0,4.2487809155265195,4.2487809155265195,5,1,0.8472978603872036,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.6094379124341003,1,1,0,135,1.0,0,2.6397713603489157,2.6397713603489157,4,3,0.6931471805599453,16.9,1.0986122886681098,7.7,0,1,1,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.6094379124341003,3,4,0,135,4.0,3,5.637535828837275,4.546056921495585,3,1,0.6931471805599453,16.9,1.0986122886681098,7.7,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.3862943611198906,4,2,3,135,2.0,0,5.800122427092944,4.422928625994308,3,1,1.252762968495368,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.3862943611198906,2,2,2,135,2.0,2,5.019528961266375,4.3329676843846965,2,1,1.0986122886681098,16.9,1.0986122886681098,7.7,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.6931471805599453,1,3,0,135,3.0,0,4.191168746857641,4.191168746857641,1,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.6931471805599453,2,1,0,135,1.0,0,3.6304555339762192,2.9637254774189046,0,2,0.6931471805599453,16.9,1.0986122886681098,7.7,0,1,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,3,1,0,135,0.0,0,2.995732273553991,1.9919755158985601,0,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,3,1,0,135,0.0,0,2.972975286431375,1.9712993830601329,0,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,6,1,0,135,1.0,0,4.721796997919811,2.9734866646066713,-1,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,1,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,1,4,0,135,4.0,0,4.4297447958819784,4.4297447958819784,-1,1,0.6931471805599453,16.9,1.0986122886681098,7.7,0,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,1,1,0,135,1.0,1,3.223664341599998,3.223664341599998,-1,1,0.6931471805599453,16.9,1.0986122886681098,7.7,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.574710978503383,1,1,0,135,1.0,0,2.7047112998366956,2.7047112998366956,95,3,0.6931471805599453,11.8,0.4054651081081644,0.0,0,1,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.477336814478207,2,2,0,135,0.0,0,4.1198498526304625,3.4429789156771102,87,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.477336814478207,2,2,0,135,0.0,0,3.900759813149435,3.2276373305367736,87,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.330733340286331,1,1,0,135,1.0,0,2.644044871126298,2.644044871126298,75,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.189654742026425,2,2,2,135,2.0,0,4.720995751493682,4.036715449385464,64,1,1.0986122886681098,11.8,0.4054651081081644,0.0,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.110873864173311,7,3,0,135,3.0,0,6.042941574615569,4.1112016792885235,59,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.007333185232471,1,3,0,135,0.0,0,3.8997479745525334,3.8997479745525334,54,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.9889840465642745,2,2,1,135,2.0,0,4.748057673536639,4.063541653067055,52,1,0.9162907318741551,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.6888794541139363,2,1,0,135,1.0,0,3.088311454847084,2.4397349311412793,39,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.6888794541139363,2,1,0,135,1.0,0,3.088311454847084,2.4397349311412793,39,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.6109179126442243,3,2,2,135,0.0,0,4.064228938317477,2.9992261628082466,36,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.5553480614894135,3,1,0,135,1.0,0,3.7369550773454994,2.6851226964585053,33,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.5263605246161616,1,3,2,135,3.0,0,4.69033819835797,4.69033819835797,33,1,0.9808292530117262,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.4339872044851463,2,1,0,135,1.0,0,3.3361253849184407,2.67827804276854,29,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
