ubicacion,fecha,puntuacion,titulo_comentario,comentario_negativo,comentario_positivo,etiquetas,cantidad_comentarios,nacionalidad
Vitoria,Escrito en 27 de agosto de 2025,"9,0",Manuel,El sofá cama no es cómodo.,"Está ubicado en una zona tranquila donde se encuentra fácilmente aparcamiento. Además, está a 10 minutos andando del centro.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 3 noches | Enviado por móvil,9 comentarios,España
Vitoria,Escrito en 25 de agosto de 2025,"8,0",Eduardo,No te ayudan con el check in,La amplitud,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,74 comentarios,España
Vitoria,Escrito en 25 de agosto de 2025,"8,0",Estrella,"Por ponerle una pega, cuando abres el sofá cama queda muy estrecho y no se puede pasar","La ubicación, limpieza del apartamento, silencia y desayuno",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,8 comentarios,España
Vitoria,Escrito en 25 de agosto de 2025,"8,0",Rubio-bañón,"La limpieza del apartamento, estuvimos cinco noches y no nos cambiaron las toallas ni limpiaron la habitación.",Las instalaciones eran muy buenas y muy céntrico,Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 1 noche,3 comentarios,España
Vitoria,Escrito en 23 de agosto de 2025,"8,0",Elena,El sofa-cama es bastante incómodo para dormir en él. Tuve que pedir material de limpieza como pastilla para el lavavajillas y trapo de cocina porque no estaba en la habitación. Aunque es verdad que la recepcionista me los proporcionó inmediatamente.,"El personal fue muy amable  y la ubicación es fantástica. A 10 minutos  a pie del centro histórico de Vitoria.
El apartamento para 5 personas es espacioso y estaba muy limpio.",Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 1 noche | Enviado por móvil,12 comentarios,España
Vitoria,Escrito en 23 de agosto de 2025,"8,0",Loli,"Que no tuviera una escoba para poder recoger lo básico, ni escobilla de wc, así como algo para fregar los cacharros, cosa que hoy día hay en casi todos los apartamentos turísticos
En mi caso con pelo largo he tenido que recoger los pelos con algo de papel","La ubicacion y que aunque haya parking, se puede aparcar con suerte fuera
El apartamento está nuevo y tiene de casi todo",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 4 noches | Enviado por móvil,3 comentarios,España
Vitoria,Escrito en 23 de agosto de 2025,"9,0",Andrea,"Difícil contar con alguien si se necesita, demasiado autónomo todo. Vistas feas","Me pareció muy cómodo el check-in online y autónomo. Muy bien el parking en el edificio. Genial ubicación, muy cómoda.
El apartamento bien decorado y equipado, para unos días genial.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,78 comentarios,España
Vitoria,Escrito en 23 de agosto de 2025,10,Laura,"Éramos cuatro y, para el sofá cama, sólo había 1 almohada. El colchón se hundía un poco hacia el centro, pero estuvimos sólo una noche y es asumible.","Es un edificio entero dividido en apartamentos. Hay personal de asistencia durante el día, en recepción, y asistencia on line o telefónica por la noche. En todo momento, nuestras dudas fueron resueltas. Las instalaciones son nuevas, de excelente calidad, insonorizado todo y la limpieza excelente. Y la ubicación es perfecta. Es una avenida grande con comercio y lugares donde desayunar. En 5 minutos andando se accede al casco viejo de Vitoria.",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 1 noche,20 comentarios,España
Vitoria,Escrito en 22 de agosto de 2025,"8,0",Amelia,"Que no había ningún utensilio para la limpieza del hogar, escoba, mocho, bayeta, ademanes había un lavaplatos pero no había ninguna pastilla, ni estropajo ni jabón para lavar los platos, por lo que si querías barrer o fregar tenías que comprar las cosas para hacerlo.",Que estaba muy limpio y era todo nuevo y espacioso.,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 4 noches | Enviado por móvil,27 comentarios,España
Vitoria,Escrito en 22 de agosto de 2025,"9,0",Raquel,,Me encantó el detalle de bienvenida para el perrete 😄,Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 5 noches | Enviado por móvil,,
Vitoria,Escrito en 22 de agosto de 2025,"9,0",Juan,El sofá cama no era tan cómodo como esperábamos y que no hubiera ni un pequeño estropajo + jabón para poder lavar vajilla,"Apartamento agradable, muy nuevo todo, tranquilo , limpio y cómodo",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 2 noches,13 comentarios,España
Vitoria,Escrito en 21 de agosto de 2025,"8,0",Rodríguez,Era un apartamento en la planta primera y en lugar de hacia la avenida estaba orientado hacia atrás dando a una confluencia de patios de otros edificios altos y ésto hacía que el apartamento tuviera poca luz.,La ubicación.,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 3 noches | Enviado por móvil,8 comentarios,España
Vitoria,Escrito en 20 de agosto de 2025,"8,0",Federico,,La habitación es muy cómoda en general,Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 28 de julio de 2025,"9,0",Jesus,"el sofa cama era muy blando para dormir, muy incómodo",La ubicación y la limpieza,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches,6 comentarios,España
Vitoria,Escrito en 28 de julio de 2025,"7,0",Carolina,"Que todo fuera por la aplicación o por mail, aunque puedes llamarlos del telefonillo de la entrada, por nosotros no, pero vimos gente mayor liada. La relación calidad-precio es excesiva. No vino nadie a limpiar y todavía no tengo claro si es por no pedirlo por la aplicación. Te dejaban un kit de limpieza, pero era escaso para los 5 días que íbamos. Y lo peor es la wifi compartida, va fatal y además la televisión no es smart, y no hubo manera de conectar el crome cast por la wifi, lo comunicamos y nada.",La situación y las instalaciones.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 5 noches | Enviado por móvil,36 comentarios,España
Vitoria,Escrito en 27 de julio de 2025,"9,0",Jose,"La nevera, por la parte posterior, a veces vibraba en exceso",Ubicación y equipamiento,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches,38 comentarios,España
Vitoria,Escrito en 27 de julio de 2025,"9,0",Sara,"Echamos en falta más luz artificial sobre todo en el baño y la falta estropajo, bayeta, una escoba con recogedor y fregona con cubo para mantener limpio el apartamento durante nuestra estancia.","Un apartamento bonito y moderno ideal para viajar una familia de cuatro miembros algunos días. Equipada con una cocina totalmente nueva con todos los pequeños electrodomésticos modernísimos. 
Cuenta con un dormitorio con armario y cómoda de tres cajones y una cama muy confortable, tanto colchón como almohadas. El sofá cama del salón quizás no tan cómodo, pero adecuado para dos niños o adolescentes.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 4 noches | Enviado por móvil,7 comentarios,España
Vitoria,Escrito en 26 de julio de 2025,"9,0",Sergio,"Por decir algo, que no había cafetera en la cocina.
La echamos en falta.","Es un apartahotel muy comodo, bien ubicado y muy limpio. Con cocina bien equipada. Los muebles y el apartamento muy nuevo. Se entra fácil de manera on lline, con la clave que te envían o su aplicación. Y el garage, aunque de pago, es un punto a favor de la instalación.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,25 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"8,0",Pedro,El sofá cama muy incómodo para dos personas,"Muy nuevo y todo lo necesario para unos dias, buena ubicación.",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 5 noches | Enviado por móvil,3 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"9,0",Laura,Tuvimos un poco de dificultad al abrir la puerta del edificio pero se resolvió sin problema,Luminoso..céntrico..muy bien equipado..nos obsequiaron con dos botellas de agua y un snack y un pack de limpieza..cama y sofá cama muy cómodo..no vimos a nadie del personal..rodeado de bares y cafeterías muy ricas,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,7 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"8,0",Ceballos,No me gustó que no tienen persianas y entra claridad a las habitaciones.,,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,4 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"7,0",Maria,Que el sofá  se hundía cuando te sentabas y las tapicerias de sillones y cojines estaba con cercos de manchas al igual.que una de las fundas de almohada interiores que tenia unos cercos amarillos increibles de suciedad.,"Muy bien ubicado, muy bien equipado, con lavadora, lavavajillas, horno microondas... decoración muy moderna y apartamento amplio, cafeterías para desayunar y en la misma calle hay zona de aparcamiwnto gratuito.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,10 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"9,0",Noelia,Que no tuviera una escoba ni fregona,Estaba muy cuidado.,Familia con niños pequeños | Apartamento con terraza | Estancia de 2 noches | Enviado por móvil,4 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"8,0",M,El sofá cama era horrible....no es nada intuitivo para abrirlo y se cerraba cada dos por tres..no descansaron nada las personas que durmieron ahí,"Esta a 10 mins de la catedral de Vitoria, es una finca de pisos turísticos que están muy limpios y nuevos y se accede con código",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,10 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"8,0",María,"Eché de menos una escoba y recogedor en el apartamento para el día a día a parte de la limpieza que se haga por parte de la empresa.
El sofá cama es incómodo para dormir más de un día.","Bonito, buena ubicación, cocina bien equipada, buen detalle de bienvenida y el kit de limpieza.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 3 noches | Enviado por móvil,5 comentarios,España
Vitoria,Escrito en 25 de julio de 2025,"8,0",Aurora,"Garaje y desayunos, por el precio de estancia, debería incluir","Mal el horario de entradas,,debe ser cuando el cliente llegue, sea 8hs , 12"",,,,o 3de la mañanas, cada usuario es diferente y su estancia termina en 24hs, no cuando ustedes digan,,un  hotel está para éso dar servicio de hospedaje, no a su conveniencia,, mucho ruido las hb de frente a la calle gastéiz,,debería tener otro tipo de ventanas.",Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,3 comentarios,España
Vitoria,Escrito en 24 de julio de 2025,"7,0",Teresa,El check in y todo el acceso al hotel es digital. Tener que estar poniendo el código para abrir cada puerta es un poco jaleo pero bueno. El sofá cama deberían renovarlo...,"La ubicación y la comodidad de tener parking a 14€/día. Estaba todo muy bien equipado, con un kit de bienvenida y un kit de limpieza, el apartamento tiene todo lo necesario para estar en Vitoria unos días. Para los precios que hay de alojamientos en el País Vasco en general, este está muy bien.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches,38 comentarios,España
Vitoria,Escrito en 24 de julio de 2025,"7,0",Monica,"Sofá cama incómodo, aire solo iba en la habitación y faltaba la plancha para la ropa",Ubicación y lavabo y cama habitación muy cómoda,Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,16 comentarios,España
Vitoria,Escrito en 23 de julio de 2025,10,Alberto,Nada,"Espectacular apartamento, nuevo,bien equipado ,muy limpio, centrico",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,4 comentarios,España
Vitoria,Escrito en 22 de julio de 2025,"7,0",Samaniegomiron,"Todos los extras que hay, si quieres que te cambien las sabanas y toallas un extra de 37 euros, no había cepillo ni recogedor para barrer pequeñas cosas supongo para que se necesite contratar el servicio de limpieza extra.El sistema de acceso con códigos da muchos problemas, nos fallaba mucho.El menaje de la cocina es muy escaso, solo había un cazo una cazuela grande y un escurridor de pasta, se hubiera agradecido tener una pequeña sartén para hacer una tortilla.","El apartamento muy bonito, amplio, bien decorado y equipado con casi de todo, bien climatizado, las camas cómodas, incluso el sofá cama, lo mejor la ubicación y el parking al lado aunque debes contratarlo como extra.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 6 noches,12 comentarios,España
Vitoria,Escrito en 22 de julio de 2025,"9,0",Texenery,Ni un mísero detalle en la habitación. El sofá cama bastante incómodo.,Es muy cómodo y moderno.,Viaje de ocio | Grupo | Apartamento de 2 dormitorios | Estancia de 1 noche,81 comentarios,España
Vitoria,Escrito en 21 de julio de 2025,10,Maria,Me gusto todo,"Todo perfecto, muy limpio y todo muy bien organizado. esta a 15 minutos del centro caminando.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,6 comentarios,España
Vitoria,Escrito en 21 de julio de 2025,10,Carlos,,"Ubicacion espectacular, sin necesidad de coger transporte para vsisitar la ciudad.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 5 noches,,
Vitoria,Escrito en 21 de julio de 2025,"9,0",Maria,,Camas y diseño,Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,,
Vitoria,Escrito en 20 de julio de 2025,"8,0",Juan,"Imposible check-in antes de las 15:00h sin pagar extra.
No hay nadie en recepción para atender.
Código de acceso largo.
Prefiero trato personal, no virtual.
Imposibilidad de pagar en efectivo.","Buena ubicación, cerca del centro. 
Parking gratuito en la calle.
Moderno, bien equipado.
Cómodo. Abundantes cajones para ropa.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,10 comentarios,España
Vitoria,Escrito en 20 de julio de 2025,10,Yolanda,,Para una noche q era de paso bastante bien,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 20 de julio de 2025,"8,0",Ana,El colchón del sofá cama de la 509 tienen que cambiarlo porque se hunde y se notan los muelles. No se puede descansar.,Nuevo y céntrico.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,9 comentarios,España
Vitoria,Escrito en 20 de julio de 2025,10,Raul,Las almohadas,El apartamento muy nuevo y limpio,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,11 comentarios,España
Vitoria,Escrito en 25 de mayo de 2025,"7,0",Anie,"Un par de puntos a destacar: 
1. Tanto el sofá cama como las almohadas son muy incómodas, y en nuestro caso, faltaba una de las mesitas de noche de la habitación. 
2. Además, nuestra estancia se vio significativamente afectada por un problema con el aire acondicionado: 
Pasamos la tarde fuera, y al volver al apartamento al anochecer quisimos encender el aire acondicionado para cenar y dormir. Tratamos de ponerlo en marcha y esperar un rato para ver si se encendía, pero nada. Hacia las 21:30 nos pusimos en contacto con recepción a través de WhatsApp para solicitar ayuda, ya que no lo conseguíamos (o no funcionaba). Recibimos una respuesta pidiendo la foto del panel de control del aire acondicionado. Así lo hicimos, y nos respondieron diciendo que pasarían el aviso a la persona que se encontraba en recepción para que nos ayudara indicando que debíamos esperar. Sin embargo, tras esperar más de una hora sin recibir ninguna solución ni contacto por parte del personal, decidimos desistir y avisar de que ya no era necesario que vinieran ya que eran las 23:00 pasadas y queriamos irnos a dormir. Una pena.","El primer punto destacable es la ubicación, que es estupenda. Está a escasos minutos del centro y cuenta con paradas cercanas de autobús y tranvía. 
En cuanto al apartamento, la cocina esta muy bien equipada. La habitación principal es muy espaciosa y la cama es cómoda. El baño está muy limpio y hay toallas de sobra.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,8 comentarios,España
Vitoria,Escrito en 24 de mayo de 2025,"8,0",Carlos,"El sistema automático. No por lo automático sino por cierta dificultad que presenta el sistema. Código largo, etc,. Es el camino pero habría que darle una vuelta de tuerca.",La habitación espaciosa y los servicios incluidos,Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 1 noche | Enviado por móvil,10 comentarios,Argentina
Vitoria,Escrito en 24 de mayo de 2025,"9,0",Koldo,Todo,Si,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,18 comentarios,España
Vitoria,Escrito en 24 de mayo de 2025,10,Orenes,La gestión de la entrada,Apartamento,Viaje de ocio | Pareja | Apartamento de 2 dormitorios | Estancia de 1 noche | Enviado por móvil,1 comentario,España
